activity_id,date,garmin_type,session_type,interval_number,distance_km,pace_min_km,avg_hr,avg_power,gct_ms,gct_balance_left_pct,cadence_spm,stride_cm,vert_osc_mm
2026-09-23,2026-09-23,running,hill,1,1,5.1,135.0,320.0,241.3,49.7,0,,
2026-09-23,2026-09-23,running,hill,2,2,5.74,145.0,317.0,251.1,50.5,0,,
2026-09-23,2026-09-23,running,hill,3,3,12.84,143.0,126.0,376.2,50.1,0,,
2026-09-23,2026-09-23,running,hill,4,4,4.6,159.0,452.0,232.1,49.6,0,,
2026-09-23,2026-09-23,running,hill,5,5,10.82,121.0,112.0,349.8,50.5,0,,
2026-09-23,2026-09-23,running,hill,6,6,4.28,159.0,490.0,220.7,48.6,0,,
2026-09-23,2026-09-23,running,hill,7,7,11.28,120.0,100.0,409.6,49.0,0,,
2026-09-23,2026-09-23,running,hill,8,8,4.04,161.0,514.0,204.3,47.3,0,,
2026-09-23,2026-09-23,running,hill,9,9,11.42,127.0,102.0,298.7,48.7,0,,
2026-09-23,2026-09-23,running,hill,10,10,3.97,163.0,520.0,212.3,48.0,0,,
2026-09-23,2026-09-23,running,hill,11,11,11.53,129.0,97.0,367.1,48.6,0,,
2026-09-23,2026-09-23,running,hill,12,12,3.99,164.0,510.0,208.3,47.8,0,,
2026-09-23,2026-09-23,running,hill,13,13,11.75,131.0,93.0,327.0,48.5,0,,
2026-09-23,2026-09-23,running,hill,14,14,3.95,164.0,515.0,211.5,48.0,0,,
2026-09-23,2026-09-23,running,hill,15,15,11.9,135.0,95.0,342.7,49.5,0,,
2026-09-23,2026-09-23,running,hill,16,16,3.97,164.0,509.0,217.3,48.0,0,,
2026-09-23,2026-09-23,running,hill,17,17,12.19,138.0,91.0,413.1,49.6,0,,
2026-09-23,2026-09-23,running,hill,18,18,3.75,168.0,523.0,203.9,47.2,0,,
2026-09-23,2026-09-23,running,hill,19,19,11.18,142.0,134.0,355.4,49.3,0,,
2026-09-23,2026-09-23,running,hill,20,20,10.28,130.0,165.0,295.1,50.8,0,,
2026-09-23-2,2026-09-23,running,steady,1,1,5.22,128.0,320.0,240.8,49.9,0,,
2026-09-23-2,2026-09-23,running,steady,2,2,5.47,143.0,315.0,244.7,50.7,0,,
2026-09-23-2,2026-09-23,running,steady,3,3,5.62,146.0,304.0,248.4,50.9,0,,
2026-09-23-2,2026-09-23,running,steady,4,4,4.84,159.0,372.0,235.3,50.2,0,,
2026-09-22,2026-09-22,running,fartlek,1,1,5.42,127.0,306.0,245.5,50.0,0,,
2026-09-22,2026-09-22,running,fartlek,2,2,5.66,138.0,307.0,247.8,50.3,0,,
2026-09-22,2026-09-22,running,fartlek,3,3,5.66,139.0,303.0,249.9,50.9,0,,
2026-09-22,2026-09-22,running,fartlek,4,4,5.7,141.0,299.0,249.1,50.8,0,,
2026-09-22,2026-09-22,running,fartlek,5,5,5.78,142.0,302.0,249.1,50.9,0,,
2026-09-22,2026-09-22,running,fartlek,6,6,4.5,144.0,294.0,250.5,51.5,0,,
2026-09-16,2026-09-16,running,steady,1,1,5.29,125.0,305.0,240.0,49.6,0,,
2026-09-16,2026-09-16,running,steady,2,2,5.65,134.0,317.0,244.3,50.2,0,,
2026-09-16,2026-09-16,running,steady,3,3,5.79,137.0,311.0,246.4,50.2,0,,
2026-09-16,2026-09-16,running,steady,4,4,5.78,139.0,309.0,243.6,50.1,0,,
2026-09-16,2026-09-16,running,steady,5,5,5.92,140.0,313.0,245.8,50.3,0,,
2026-09-16,2026-09-16,running,steady,6,6,5.86,139.0,299.0,245.3,50.1,0,,
2026-09-16,2026-09-16,running,steady,7,7,5.92,138.0,298.0,245.3,50.0,0,,
2026-09-16,2026-09-16,running,steady,8,8,5.89,139.0,307.0,244.7,49.7,0,,
2026-09-16,2026-09-16,running,steady,9,9,5.89,141.0,311.0,246.0,49.8,0,,
2026-09-16,2026-09-16,running,steady,10,10,5.92,141.0,306.0,246.0,49.9,0,,
2026-09-16,2026-09-16,running,steady,11,11,5.69,138.0,293.0,252.0,49.7,0,,
2026-09-15,2026-09-15,running,hill,1,1,5.15,124.0,306.0,243.9,50.3,0,,
2026-09-15,2026-09-15,running,hill,2,2,5.59,136.0,332.0,245.8,50.5,0,,
2026-09-15,2026-09-15,running,hill,3,3,5.68,138.0,315.0,246.4,50.5,0,,
2026-09-15,2026-09-15,running,hill,4,4,5.79,138.0,311.0,247.4,50.5,0,,
2026-09-15,2026-09-15,running,hill,5,5,5.82,139.0,312.0,246.0,50.5,0,,
2026-09-15,2026-09-15,running,hill,6,6,5.74,142.0,302.0,244.4,50.5,0,,
2026-09-15,2026-09-15,running,hill,7,7,5.77,142.0,303.0,244.9,50.3,0,,
2026-09-15,2026-09-15,running,hill,8,8,5.73,141.0,312.0,244.6,50.3,0,,
2026-09-15,2026-09-15,running,hill,9,9,4.25,142.0,331.0,252.5,50.1,0,,
2026-09-12,2026-09-12,running,fartlek,1,1,5.35,136.0,311.0,244.0,50.3,0,,
2026-09-12,2026-09-12,running,fartlek,2,2,5.62,137.0,307.0,248.1,50.2,0,,
2026-09-12,2026-09-12,running,fartlek,3,3,5.73,140.0,299.0,250.5,50.3,0,,
2026-09-12,2026-09-12,running,fartlek,4,4,5.75,142.0,298.0,250.4,50.3,0,,
2026-09-12,2026-09-12,running,fartlek,5,5,5.85,144.0,302.0,250.7,50.2,0,,
2026-09-12,2026-09-12,running,fartlek,6,6,5.86,145.0,297.0,250.4,50.1,0,,
2026-09-12,2026-09-12,running,fartlek,7,7,5.51,138.0,311.0,245.6,50.1,0,,
2026-09-12,2026-09-12,running,fartlek,8,8,5.64,142.0,309.0,244.3,50.0,0,,
2026-09-12,2026-09-12,running,fartlek,9,9,5.71,144.0,300.0,246.9,50.0,0,,
2026-09-12,2026-09-12,running,fartlek,10,10,5.7,141.0,300.0,249.5,50.2,0,,
2026-09-12,2026-09-12,running,fartlek,11,11,4.82,159.0,353.0,237.2,49.9,0,,
2026-09-12,2026-09-12,running,fartlek,12,12,4.79,164.0,355.0,238.1,49.5,0,,
2026-09-12,2026-09-12,running,fartlek,13,13,4.76,167.0,368.0,237.1,49.7,0,,
2026-09-12,2026-09-12,running,fartlek,14,14,4.76,167.0,355.0,235.9,49.5,0,,
2026-09-12,2026-09-12,running,fartlek,15,15,4.72,169.0,360.0,233.1,49.6,0,,
2026-09-12,2026-09-12,running,fartlek,16,16,4.73,169.0,358.0,231.5,49.6,0,,
2026-09-12,2026-09-12,running,fartlek,17,17,4.63,171.0,369.0,229.7,49.4,0,,
2026-09-12,2026-09-12,running,fartlek,18,18,4.66,171.0,362.0,231.3,49.8,0,,
2026-09-12,2026-09-12,running,fartlek,19,19,4.63,170.0,363.0,229.8,49.4,0,,
2026-09-12,2026-09-12,running,fartlek,20,20,4.61,172.0,373.0,231.3,49.7,0,,
2026-09-12,2026-09-12,running,fartlek,21,21,5.87,152.0,287.0,243.2,50.1,0,,
2026-09-12,2026-09-12,running,fartlek,22,22,5.83,149.0,288.0,242.0,50.1,0,,
2026-09-12,2026-09-12,running,fartlek,23,23,6.05,151.0,288.0,247.4,50.5,0,,
2026-09-12,2026-09-12,running,fartlek,24,24,5.66,149.0,258.0,251.7,50.7,0,,
2026-09-10,2026-09-10,running,steady,1,1,4.99,130.0,326.0,243.3,50.0,0,,
2026-09-10,2026-09-10,running,steady,2,2,5.42,138.0,336.0,245.2,50.3,0,,
2026-09-10,2026-09-10,running,steady,3,3,5.5,142.0,324.0,244.3,50.2,0,,
2026-09-10,2026-09-10,running,steady,4,4,5.64,142.0,317.0,242.8,50.2,0,,
2026-09-10,2026-09-10,running,steady,5,5,5.66,143.0,320.0,243.6,50.0,0,,
2026-09-10,2026-09-10,running,steady,6,6,5.65,143.0,306.0,243.8,49.9,0,,
2026-09-10,2026-09-10,running,steady,7,7,5.72,143.0,308.0,243.8,49.9,0,,
2026-09-10,2026-09-10,running,steady,8,8,5.74,144.0,311.0,244.7,50.0,0,,
2026-09-10,2026-09-10,running,steady,9,9,5.78,144.0,317.0,245.6,49.8,0,,
2026-09-10,2026-09-10,running,steady,10,10,5.82,144.0,307.0,246.4,49.9,0,,
2026-09-10,2026-09-10,running,steady,11,11,5.27,143.0,280.0,248.0,49.5,0,,
2026-09-08,2026-09-08,running,fartlek,1,1,4.95,129.0,328.0,240.5,49.7,0,,
2026-09-08,2026-09-08,running,fartlek,2,2,5.32,138.0,330.0,242.0,49.7,0,,
2026-09-08,2026-09-08,running,fartlek,3,3,5.39,142.0,324.0,242.4,49.8,0,,
2026-09-08,2026-09-08,running,fartlek,4,4,5.54,142.0,313.0,243.9,49.8,0,,
2026-09-08,2026-09-08,running,fartlek,5,5,5.62,142.0,316.0,244.8,49.9,0,,
2026-09-08,2026-09-08,running,fartlek,6,6,5.63,140.0,302.0,245.5,49.9,0,,
2026-09-08,2026-09-08,running,fartlek,7,7,5.58,141.0,309.0,243.7,49.8,0,,
2026-09-08,2026-09-08,running,fartlek,8,8,4.26,137.0,316.0,236.0,49.8,0,,
2026-09-08-2,2026-09-08,running,fartlek,1,1,5.05,133.0,336.0,240.9,50.0,0,,
2026-09-08-2,2026-09-08,running,fartlek,2,2,5.35,139.0,313.0,243.3,50.0,0,,
2026-09-08-2,2026-09-08,running,fartlek,3,3,5.38,142.0,323.0,243.0,50.2,0,,
2026-09-08-2,2026-09-08,running,fartlek,4,4,5.42,142.0,315.0,242.3,50.2,0,,
2026-09-08-2,2026-09-08,running,fartlek,5,5,5.49,143.0,315.0,242.9,50.1,0,,
2026-09-08-2,2026-09-08,running,fartlek,6,6,3.93,147.0,338.0,244.0,50.5,0,,
2026-09-05,2026-09-05,running,fartlek,1,1,5.21,130.0,346.0,238.9,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,2,2,5.52,140.0,318.0,239.8,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,3,3,5.64,141.0,314.0,241.9,49.7,0,,
2026-09-05,2026-09-05,running,fartlek,4,4,5.77,140.0,301.0,242.5,50.0,0,,
2026-09-05,2026-09-05,running,fartlek,5,5,5.76,143.0,311.0,242.4,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,6,6,5.78,143.0,310.0,241.7,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,7,7,5.71,144.0,311.0,241.4,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,8,8,5.83,144.0,306.0,241.7,49.8,0,,
2026-09-05,2026-09-05,running,fartlek,9,9,4.18,146.0,273.0,254.5,50.4,0,,
2026-09-02,2026-09-02,running,fartlek,1,1,5.14,130.0,324.0,245.5,49.2,0,,
2026-09-02,2026-09-02,running,fartlek,2,2,5.58,137.0,326.0,243.8,49.8,0,,
2026-09-02,2026-09-02,running,fartlek,3,3,5.66,138.0,309.0,243.4,49.9,0,,
2026-09-02,2026-09-02,running,fartlek,4,4,5.7,138.0,306.0,244.0,49.7,0,,
2026-09-02,2026-09-02,running,fartlek,5,5,5.82,139.0,312.0,245.6,49.9,0,,
2026-09-02,2026-09-02,running,fartlek,6,6,5.6,142.0,311.0,244.2,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,7,7,5.67,143.0,311.0,243.7,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,8,8,5.66,135.0,311.0,246.0,49.7,0,,
2026-09-02,2026-09-02,running,fartlek,9,9,5.66,142.0,318.0,243.2,49.4,0,,
2026-09-02,2026-09-02,running,fartlek,10,10,5.65,143.0,315.0,243.3,49.4,0,,
2026-09-02,2026-09-02,running,fartlek,11,11,5.64,142.0,311.0,243.4,49.2,0,,
2026-09-02,2026-09-02,running,fartlek,12,12,5.65,143.0,314.0,243.6,49.3,0,,
2026-09-02,2026-09-02,running,fartlek,13,13,5.54,143.0,314.0,243.7,49.1,0,,
2026-09-02,2026-09-02,running,fartlek,14,14,5.56,142.0,311.0,242.9,49.1,0,,
2026-09-02,2026-09-02,running,fartlek,15,15,5.6,143.0,314.0,241.8,49.3,0,,
2026-09-02,2026-09-02,running,fartlek,16,16,5.47,136.0,320.0,242.8,49.9,0,,
2026-09-02,2026-09-02,running,fartlek,17,17,5.44,144.0,328.0,241.9,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,18,18,5.52,147.0,317.0,244.2,49.6,0,,
2026-09-02,2026-09-02,running,fartlek,19,19,5.52,146.0,315.0,243.6,49.7,0,,
2026-09-02,2026-09-02,running,fartlek,20,20,5.58,148.0,319.0,245.3,49.7,0,,
2026-09-02,2026-09-02,running,fartlek,21,21,5.59,147.0,308.0,244.2,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,22,22,5.67,148.0,310.0,245.8,49.6,0,,
2026-09-02,2026-09-02,running,fartlek,23,23,5.71,149.0,307.0,245.2,49.6,0,,
2026-09-02,2026-09-02,running,fartlek,24,24,5.26,149.0,335.0,242.3,49.7,0,,
2026-09-02,2026-09-02,running,fartlek,25,25,5.23,159.0,341.0,241.8,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,26,26,5.08,163.0,341.0,240.7,49.6,0,,
2026-09-02,2026-09-02,running,fartlek,27,27,4.85,166.0,359.0,236.8,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,28,28,4.79,170.0,365.0,234.3,49.3,0,,
2026-09-02,2026-09-02,running,fartlek,29,29,4.64,174.0,368.0,232.1,49.5,0,,
2026-09-02,2026-09-02,running,fartlek,30,30,4.48,178.0,387.0,229.8,49.0,0,,
2026-09-02,2026-09-02,running,fartlek,31,31,3.58,180.0,395.0,235.0,48.6,0,,
